Site name,File granularity,URL template,Outfile template,Overwrite Policy,Max history,Ignore?,Source
Mildura,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3051.%Y%m.csv,bom daily/Mildura/IDCJDW3051.%Y%m.csv,Refresh current month,15m,,
Moorabbin,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3052.%Y%m.csv,bom daily/Moorabbin/IDCJDW3052.%Y%m.csv,Refresh current month,15m,,
Mortlake,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3053.%Y%m.csv,bom daily/Mortlake/IDCJDW3053.%Y%m.csv,Refresh current month,15m,,
Mount Baw Baw,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3095.%Y%m.csv,bom daily/Mount Baw Baw/IDCJDW3095.%Y%m.csv,Refresh current month,15m,,
Mount Buller,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3054.%Y%m.csv,bom daily/Mount Buller/IDCJDW3054.%Y%m.csv,Refresh current month,15m,,
Mount Hotham,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3055.%Y%m.csv,bom daily/Mount Hotham/IDCJDW3055.%Y%m.csv,Refresh current month,15m,,
Mount Hotham Airport,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3056.%Y%m.csv,bom daily/Mount Hotham Airport/IDCJDW3056.%Y%m.csv,Refresh current month,15m,,
Mount Moornapa,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3057.%Y%m.csv,bom daily/Mount Moornapa/IDCJDW3057.%Y%m.csv,Refresh current month,15m,,
Mount Nowa Nowa,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3058.%Y%m.csv,bom daily/Mount Nowa Nowa/IDCJDW3058.%Y%m.csv,Refresh current month,15m,,
Mount William (Grampians),Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3097.%Y%m.csv,bom daily/Mount William Grampians/IDCJDW3097.%Y%m.csv,Refresh current month,15m,,
Nhill,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3059.%Y%m.csv,bom daily/Nhill/IDCJDW3059.%Y%m.csv,Refresh current month,15m,,
Nilma North,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3104.%Y%m.csv,bom daily/Nilma North/IDCJDW3104.%Y%m.csv,Refresh current month,15m,,
Omeo,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3061.%Y%m.csv,bom daily/Omeo/IDCJDW3061.%Y%m.csv,Refresh current month,15m,,
Orbost,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3062.%Y%m.csv,bom daily/Orbost/IDCJDW3062.%Y%m.csv,Refresh current month,15m,,
Ouyen,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3063.%Y%m.csv,bom daily/Ouyen/IDCJDW3063.%Y%m.csv,Refresh current month,15m,,
Phillip Island,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3064.%Y%m.csv,bom daily/Phillip Island/IDCJDW3064.%Y%m.csv,Refresh current month,15m,,
Point Hicks,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3065.%Y%m.csv,bom daily/Point Hicks/IDCJDW3065.%Y%m.csv,Refresh current month,15m,,
Port Fairy,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3067.%Y%m.csv,bom daily/Port Fairy/IDCJDW3067.%Y%m.csv,Refresh current month,15m,,
Portland,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3068.%Y%m.csv,bom daily/Portland/IDCJDW3068.%Y%m.csv,Refresh current month,15m,,
Pound Creek,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3099.%Y%m.csv,bom daily/Pound Creek/IDCJDW3099.%Y%m.csv,Refresh current month,15m,,
Redesdale,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3069.%Y%m.csv,bom daily/Redesdale/IDCJDW3069.%Y%m.csv,Refresh current month,15m,,
Rhyll,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3070.%Y%m.csv,bom daily/Rhyll/IDCJDW3070.%Y%m.csv,Refresh current month,15m,,
Rutherglen,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3071.%Y%m.csv,bom daily/Rutherglen/IDCJDW3071.%Y%m.csv,Refresh current month,15m,,
Sale,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3022.%Y%m.csv,bom daily/Sale/IDCJDW3022.%Y%m.csv,Refresh current month,15m,,
Scoresby,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3072.%Y%m.csv,bom daily/Scoresby/IDCJDW3072.%Y%m.csv,Refresh current month,15m,,
Sheoaks,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3073.%Y%m.csv,bom daily/Sheoaks/IDCJDW3073.%Y%m.csv,Refresh current month,15m,,
Shepparton,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3074.%Y%m.csv,bom daily/Shepparton/IDCJDW3074.%Y%m.csv,Refresh current month,15m,,
Stawell,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3075.%Y%m.csv,bom daily/Stawell/IDCJDW3075.%Y%m.csv,Refresh current month,15m,,
Strathbogie,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3076.%Y%m.csv,bom daily/Strathbogie/IDCJDW3076.%Y%m.csv,Refresh current month,15m,,
Swan Hill,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3077.%Y%m.csv,bom daily/Swan Hill/IDCJDW3077.%Y%m.csv,Refresh current month,15m,,
Tatura,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3078.%Y%m.csv,bom daily/Tatura/IDCJDW3078.%Y%m.csv,Refresh current month,15m,,
